threads,problem_size,kernel_size,time
1,64,3,0.000207
1,128,3,0.000814
1,256,3,0.003360
1,512,3,0.013319
1,1024,3,0.053076
1,2048,3,0.211499
1,4096,3,1.249348
1,8192,3,3.908833
2,64,3,0.000114
2,128,3,0.000465
2,256,3,0.001885
2,512,3,0.007616
2,1024,3,0.030594
2,2048,3,0.122811
2,4096,3,0.509477
2,8192,3,2.016661
2,64,11,0.001006
2,128,11,0.004913
2,256,11,0.020189
2,512,11,0.084385
2,1024,11,0.341165
2,2048,11,1.428705
2,4096,11,5.828437
2,8192,11,23.102008
2,64,25,0.002828
2,128,25,0.018011
2,256,25,0.088446
2,512,25,0.394984
2,1024,25,1.667891
2,2048,25,6.777069
2,4096,25,27.297386
2,8192,25,109.957711
2,64,51,0.001854
2,128,51,0.047103
2,256,51,0.314167
2,512,51,1.558489
2,1024,51,6.928627
2,2048,51,29.025794
2,4096,51,117.463256
2,8192,51,475.970151
4,64,3,0.000174
4,128,3,0.000689
4,256,3,0.001299
4,512,3,0.005703
4,1024,3,0.025277
4,2048,3,0.072226
4,4096,3,0.258995
4,8192,3,0.982393
4,64,11,0.000492
4,128,11,0.002255
4,256,11,0.009619
4,512,11,0.043031
4,1024,11,0.188750
4,2048,11,0.692969
4,4096,11,2.770135
4,8192,11,11.100266
4,64,25,0.001376
4,128,25,0.008911
4,256,25,0.044585
4,512,25,0.208121
4,1024,25,0.832852
4,2048,25,3.501542
4,4096,25,13.982182
4,8192,25,63.001058
4,64,51,0.000911
4,128,51,0.022722
4,256,51,0.152651
4,512,51,0.759996
4,1024,51,3.352679
4,2048,51,14.332737
4,4096,51,58.577819
4,8192,51,236.521304
8,64,3,0.000037
8,128,3,0.000127
8,256,3,0.000481
8,512,3,0.002218
8,1024,3,0.008205
8,2048,3,0.053796
8,4096,3,0.191731
8,8192,3,0.493905
8,64,11,0.000293
8,128,11,0.001264
8,256,11,0.005320
8,512,11,0.021653
8,1024,11,0.088326
8,2048,11,0.354855
8,4096,11,1.464289
8,8192,11,6.127022
8,64,25,0.000737
8,128,25,0.004693
8,256,25,0.023251
8,512,25,0.101692
8,1024,25,0.423967
8,2048,25,1.774461
8,4096,25,7.153689
8,8192,25,28.689429
8,64,51,0.000504
8,128,51,0.011779
8,256,51,0.079470
8,512,51,0.393497
8,1024,51,1.755322
8,2048,51,7.362762
8,4096,51,30.220078
8,8192,51,122.150012
16,64,3,0.000031
16,128,3,0.000085
16,256,3,0.000277
16,512,3,0.001141
16,1024,3,0.004437
16,2048,3,0.016853
16,4096,3,0.161904
16,8192,3,0.502546
16,64,11,0.000145
16,128,11,0.000666
16,256,11,0.006031
16,512,11,0.014700
16,1024,11,0.045550
16,2048,11,0.182844
16,4096,11,0.794468
16,8192,11,3.116161
16,64,25,0.000406
16,128,25,0.002571
16,256,25,0.012491
16,512,25,0.052493
16,1024,25,0.220961
16,2048,25,0.940933
16,4096,25,3.828219
16,8192,25,15.450704
16,64,51,0.000265
16,128,51,0.005587
16,256,51,0.037351
16,512,51,0.188488
16,1024,51,0.843942
16,2048,51,3.480529
16,4096,51,14.265169
16,8192,51,57.905203
32,64,3,0.000031
32,128,3,0.000074
32,256,3,0.000138
32,512,3,0.000511
32,1024,3,0.007512
32,2048,3,0.008186
32,4096,3,0.047332
32,8192,3,0.198565
32,64,11,0.000085
32,128,11,0.002558
32,256,11,0.001483
32,512,11,0.006187
32,1024,11,0.023013
32,2048,11,0.091663
32,4096,11,0.368517
32,8192,11,1.527930
32,64,25,0.000194
32,128,25,0.001387
32,256,25,0.010079
32,512,25,0.040059
32,1024,25,0.122664
32,2048,25,0.532137
32,4096,25,2.316957
32,8192,25,9.588369
32,64,51,0.000164
32,128,51,0.016130
32,256,51,0.040072
32,512,51,0.181799
32,1024,51,0.819819
32,2048,51,3.413618
32,4096,51,14.108951
32,8192,51,47.683712
64,64,3,0.000067
64,128,3,0.000120
64,256,3,0.000213
64,512,3,0.000576
64,1024,3,0.001660
64,2048,3,0.008513
64,4096,3,0.025390
64,8192,3,0.068751
64,64,11,0.000050
64,128,11,0.000157
64,256,11,0.004485
64,512,11,0.002987
64,1024,11,0.010842
64,2048,11,0.041872
64,4096,11,0.167907
64,8192,11,0.657418
64,64,25,0.000308
64,128,25,0.000774
64,256,25,0.003477
64,512,25,0.012715
64,1024,25,0.069743
64,2048,25,0.210896
64,4096,25,0.875247
64,8192,25,3.438602
64,64,51,0.000207
64,128,51,0.001881
64,256,51,0.009649
64,512,51,0.050574
64,1024,51,0.280513
64,2048,51,1.032035
64,4096,51,5.504889
64,8192,51,18.625204
1,64,11,0.00
1,128,11,0.01
1,256,11,0.03
1,512,11,0.14
1,1024,11,0.56
1,2048,11,2.25
1,4096,11,9.31
1,8192,11,38.09
1,64,25,0.01
1,128,25,0.04
1,256,25,0.17
1,512,25,0.70
1,1024,25,2.81
1,2048,25,11.26
1,4096,25,45.16
1,8192,25,180.64
1,16384,25,784.42
1,64,51,0.05
1,128,51,0.18
1,256,51,0.71
1,512,51,2.94
1,1024,51,11.71
1,2048,51,46.96
1,4096,51,188.45
1,8192,51,754.48
1,16384,51,3172.05
